time_stamp,Location,name,latitude,longitude,altitude,model,firmware_version,last_seen,humidity,channel a,pm2.5,pm2.5_10minute,pm2.5_60minute,pm2.5_24hour,channel b,pm2.5,pm2.5_10minute,pm2.5_60minute,pm2.5_24hour,A,B,Diff,SD,JumpA,JumpB,JumpSD,Q&A,Uncorrected Average,Corrected Value
07-28-2022 08:49:07,Raymond,MChase_ParkPl,43.00408,-71.17704,194,PA-II-SD,7.00,07-28-2022 08:47:55,60,,7.9,9.3,8.0,7.2,,0.0,0.0,0.0,0.3,9.3,0.0,9.3,4.65,0.3,0.0,0.15,Passed,4.65,0.8
07-28-2022 08:49:08,Keene,KSC 04,42.93053,-72.27235,476,PA-II,7.00,07-28-2022 08:47:58,62,,11.4,10.4,8.3,7.9,,10.4,9.3,7.3,7.2,10.4,9.3,1.1,0.55,0.6,0.6,0.0,Passed,9.85,3.83
07-28-2022 08:49:09,Merrimack,KSC 15,42.899563,-71.46465,301,PA-II,7.00,07-27-2022 09:02:30,35,,3.7,3.8,4.4,9.3,,2.6,3.1,3.8,8.7,3.8,3.1,0.7,0.35,0.0,0.0,0.0,Passed,3.45,1.81
07-28-2022 08:50:41,Concord,"12 Noyes Street, Concord, NH",43.192043,-71.54158,291,PA-II-SD,7.00,07-28-2022 08:48:59,63,,8.4,8.2,5.6,4.4,,8.9,8.0,5.3,4.3,8.2,8.0,0.2,0.1,0.0,0.1,0.05,Passed,8.1,2.69
07-28-2022 08:50:42,Bow,Junder22,43.08963,-71.50244,619,PA-II,7.00,07-28-2022 08:49:49,65,,7.9,7.5,6.5,6.0,,7.6,8.0,7.1,6.4,7.5,8.0,0.5,0.25,0.0,0.0,0.0,Passed,7.75,2.34
07-28-2022 08:50:43,Dunbarton,NHDES_katerr,43.11861,-71.61618,885,PA-II-SD,7.00,07-28-2022 08:50:03,None,,8.9,7.8,7.3,6.4,,7.9,7.8,7.3,6.2,7.8,7.8,0.0,0.0,0.1,0.0,0.05,RH,7.8,1.39
07-28-2022 08:50:44,Concord,"12 Noyes Street, Concord, NH",43.19211,-71.54146,286,PA-II-SD,7.00,07-28-2022 08:48:23,62,,10.4,10.2,7.7,6.1,,11.7,11.4,8.8,6.8,10.2,11.4,1.2,0.6,0.0,0.0,0.0,Passed,10.8,4.41
07-28-2022 08:50:45,Laconia,NH7,43.565853,-71.49613,708,PA-II-SD,7.00,07-28-2022 08:48:22,64,,7.7,7.4,7.7,6.8,,8.0,7.5,7.8,6.6,7.4,7.5,0.1,0.05,0.0,0.0,0.0,Passed,7.45,2.22
07-28-2022 08:50:46,Concord,NHDES Max,43.289764,-71.56426,370,PA-II-SD,7.00,07-28-2022 08:48:48,62,,9.0,7.7,6.7,6.4,,8.0,7.5,6.7,6.2,7.7,7.5,0.2,0.1,0.1,0.1,0.0,Passed,7.6,2.46
07-28-2022 08:50:47,Suncook,NH2,43.132477,-71.458374,230,PA-II-SD,7.00,07-28-2022 08:49:33,55,,13.9,12.9,10.7,9.1,,12.0,12.0,9.9,8.1,12.9,12.0,0.9,0.45,0.1,0.0,0.05,Passed,12.45,5.9
07-28-2022 08:50:48,Raymond,MChase_ParkPl,43.00408,-71.17704,194,PA-II-SD,7.00,07-28-2022 08:49:55,60,,9.4,9.4,8.0,7.2,,0.0,0.0,0.0,0.3,9.4,0.0,9.4,4.7,0.1,0.0,0.05,Passed,4.7,0.83
07-28-2022 08:50:49,Keene,KSC 04,42.93053,-72.27235,476,PA-II,7.00,07-28-2022 08:49:58,62,,12.0,10.5,8.3,7.9,,11.3,9.5,7.4,7.2,10.5,9.5,1.0,0.5,0.1,0.2,0.05,Passed,10.0,3.92
07-28-2022 08:50:50,Merrimack,KSC 15,42.899563,-71.46465,301,PA-II,7.00,07-27-2022 09:02:30,35,,3.7,3.8,4.4,9.3,,2.6,3.1,3.8,8.7,3.8,3.1,0.7,0.35,0.0,0.0,0.0,Passed,3.45,1.81
07-28-2022 08:59:45,Concord,"12 Noyes Street, Concord, NH",43.192043,-71.54158,291,PA-II-SD,7.00,07-28-2022 08:58:59,62,,8.3,8.2,5.8,4.4,,7.8,8.0,5.5,4.3,8.2,8.0,0.2,0.1,0.0,0.0,0.0,Passed,8.1,2.76
07-28-2022 08:59:46,Bow,Junder22,43.08963,-71.50244,619,PA-II,7.00,07-28-2022 08:57:49,64,,8.0,7.6,6.6,6.0,,8.9,8.3,7.2,6.4,7.6,8.3,0.7,0.35,0.1,0.3,0.09999999999999999,Passed,7.95,2.53
07-28-2022 08:59:47,Dunbarton,NHDES_katerr,43.11861,-71.61618,885,PA-II-SD,7.00,07-28-2022 08:58:03,None,,9.3,8.2,7.3,6.5,,8.7,7.9,7.4,6.2,8.2,7.9,0.3,0.15,0.4,0.1,0.15000000000000002,RH,8.05,1.61
